code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
00217,SYTS,7.66,0.03,0.01,7083.07,1887501.37,450500707.62,136099,1,1,1,1,1,0,AG2,
00220,한국수출포장,-8.03,0.2,4.13,299.08,98299.21,268082064.97,663972.96,0,1,1,1,1,1,AG2,
00221,동성제약,3.96,25.74,-8.77,-31.94,1098728.14,93384867.74,74250569.97,0,1,1,0,1,2,AG2,
00222,한일철강,2.71,33.2,14.89,3.51,2768346.88,163928925.55,113236755.06,0,1,0,0,1,3,AG3,score
00223,피에스텍,2.35,13.04,4.12,67.26,3088451.59,140887953.88,23793503.66,0,1,1,1,1,1,AG2,
00224,고려제강,6.02,7.81,1.6,41.7,7609566.76,2024800459.51,217925861.3,1,1,1,1,1,0,AG2,
00229,삼일기업공사,7.86,0.02,0,16684.52,13773.24,72162653.57,18623,1,1,1,1,1,0,AG2,
00231,아세아제지,10.44,8.66,0.94,109.31,1034480.5,842660746.35,92151640.97,1,1,1,1,1,0,AG2,
00232,한진,8.31,51.08,7.73,8.08,30949354.41,1519362923.24,2201349771.35,1,0,1,0,1,2,AG2,
00235,넥센타이어,13.89,33.51,3.44,27.31,39279969.32,2145121196.35,1628121452.06,1,1,1,1,1,0,AG2,
00236,SH에너지화학,-4,14.18,-1.41,-61.13,220948.75,69287346.07,14270183.47,0,1,1,0,1,2,AG2,
00239,한독,4.94,47.38,14.13,5.66,6332782.51,267904617.02,378429912.65,0,1,0,0,1,3,AG3,score
00241,범양건영,9.77,85.68,-1.79,-94.43,1343494.49,-70224005.98,89132970.94,1,0,1,0,1,2,AG2,
00242,세기상사,4.83,35.64,11.21,3,164470.92,24571158.59,17622108.55,0,1,0,0,1,3,AG3,score
00245,삼익악기,18.21,29.64,8.03,21.18,1334063.04,297144864.61,160425156.56,1,1,1,1,1,0,AG2,
00246,HS화성,3.28,25.05,3.63,19.47,4701550.22,434331498.73,183725140.5,0,1,1,1,1,1,AG2,
00260,조흥,5.28,55.22,8.46,8.1,1951321.35,145760968.39,256632716.78,1,0,1,0,1,2,AG2,
00262,제일파마홀딩스,4.92,19.21,3.12,30.75,1894466.04,475119411.57,168672437.12,0,1,1,1,1,1,AG2,
00263,오리엔트바이오,-12.02,2.65,-0.89,-252.21,-118870.98,67732680.63,2127237.62,0,1,1,0,1,2,AG2,
00268,한탑,-4.49,53.32,31.96,-0.58,1048829.22,44813706.21,70904845,0,0,0,0,1,4,AG3,score
00269,동일제강,1.72,0.2,0.39,1621.27,6565.99,157796168.45,363476,0,1,1,1,1,1,AG2,
